cntry.code,CPI,CPIrnk
DNK,88,1
FIN,88,1
NZL,88,1
NOR,85,4
SGP,85,4
SWE,85,4
CHE,84,7
NLD,82,8
LUX,81,9
DEU,80,10
GBR,78,11
HKG,76,12
CAN,74,13
ISL,74,13
IRL,74,13
EST,74,13
AUT,74,13
AUS,73,18
BEL,73,18
JPN,73,18
URY,73,18
FRA,71,22
SYC,70,23
ARE,69,24
BTN,68,25
TWN,68,25
CHL,67,27
USA,67,27
BRB,65,29
BHS,64,30
QAT,63,31
KOR,62,32
PRT,62,32
LTU,61,34
ESP,61,34
ISR,59,36
LVA,59,36
VCT,59,36
CPV,58,39
CRI,58,39
SVN,57,41
ITA,56,42
POL,56,42
LCA,56,42
BWA,55,45
DMA,55,45
FJI,55,45
GEO,55,45
CZE,54,49
MLT,54,49
MUS,54,49
GRD,53,52
CYP,53,52
RWA,53,52
SAU,53,52
OMN,52,56
SVK,52,56
ARM,49,58
GRC,49,58
JOR,49,58
NAM,49,58
MYS,48,62
HRV,47,63
CUB,46,64
MNE,46,64
CHN,45,66
ROU,45,66
STP,45,66
VUT,45,66
JAM,44,70
ZAF,44,70
TUN,44,70
GHA,43,73
HUN,43,73
KWT,43,73
SEN,43,73
SLB,43,73
BHR,42,78
BEN,42,78
BFA,42,78
BGR,42,78
TLS,41,82
BLR,41,82
TTO,41,82
IND,40,85
MDV,40,85
KSV,39,87
COL,39,87
ETH,39,87
GUY,39,87
MAR,39,87
MKD,39,87
SUR,39,87
TZA,39,87
VNM,39,87
ARG,38,96
BRA,38,96
IDN,38,96
LSO,38,96
SRB,38,96
TUR,38,96
GMB,37,102
KAZ,37,102
LKA,37,102
CIV,36,105
ECU,36,105
MDA,36,105
PAN,36,105
PER,36,105
ALB,35,110
BIH,35,110
MWI,35,110
MNG,35,110
THA,35,110
SLV,34,115
SLE,34,115
EGY,33,117
NPL,33,117
PHL,33,117
ZMB,33,117
DZA,33,117
SWZ,32,122
UKR,32,122
GAB,31,124
MEX,31,124
NER,31,124
PNG,31,124
AZE,30,128
BOL,30,128
DJI,30,128
DOM,30,128
LAO,30,128
PRY,30,128
TGO,30,128
KEN,30,128
AGO,29,136
LBR,29,136
MLI,29,136
RUS,29,136
MRT,28,140
MMR,28,140
PAK,28,140
UZB,28,140
CMR,27,144
KGZ,27,144
UGA,27,144
BGD,26,147
MDG,26,147
MOZ,26,147
GTM,25,150
GIN,25,150
IRN,25,150
TJK,25,150
LBN,24,154
NGA,24,154
CAF,24,154
KHM,23,157
HND,23,157
IRQ,23,157
ZWE,23,157
ERI,22,161
COG,21,162
GNB,21,162
TCD,20,164
COM,20,164
HTI,20,164
NIC,20,164
SDN,20,164
BDI,19,169
COD,19,169
TKM,19,169
GNQ,17,172
LBY,17,172
AFG,16,174
PRK,16,174
YEM,16,174
VEN,14,177
SOM,13,178
SYR,13,178
SSD,11,180
