cntry.code,GDPpcRecent
ABW,27260
AFE,1477
AFG,505
AFW,1754
AGO,1982
ALB,5741
AND,40454
ARB,6233
ARE,39493
ARG,9797
ARM,4514
ASM,12280
ATG,15423
AUS,55497
AUT,50657
AZE,4807
BDI,231
BEL,47852
BEN,1313
BFA,857
BGD,2309
BGR,10531
BHR,22064
BHS,28926
BIH,6373
BLR,6899
BLZ,4464
BMU,111576
BOL,3368
BRA,7737
BRB,17278
BRN,30084
BTN,3162
BWA,6981
CAF,487
CAN,47213
CEB,17038
CHE,88631
CHI,#DIV/0!
CHL,14808
CHN,11036
CIV,2394
CMR,1577
COD,575
COG,2161
COL,5954
COM,1436
CPV,3371
CRI,12491
CSS,9539
CUB,9302
CUW,17567
CYM,88430
CYP,29229
CZE,24324
DEU,47950
DJI,3252
DMA,7693
DNK,62881
DOM,8051
DZA,3687
EAP,8742
EAR,3511
EAS,12005
ECA,8093
ECS,25337
ECU,5928
EGY,3488
EMU,39839
ERI,643
ESP,28909
EST,24578
ETH,912
EUU,35838
FCS,1825
FIN,50591
FJI,5455
FRA,41045
FRO,66737
FSM,3548
GAB,7555
GBR,43834
GEO,4665
GHA,2315
GIB,NA
GIN,1102
GMB,789
GNB,763
GNQ,8014
GRC,19019
GRD,10012
GRL,53913
GTM,4756
GUM,36332
GUY,7647
HIC,45315
HKG,48039
HND,2604
HPC,1009
HRV,15614
HTI,1467
HUN,17195
IBD,6631
IBT,5272
IDA,1407
IDB,1817
IDN,4099
IDX,1200
IMN,86482
IND,2094
INX,NA
IRL,88487
IRN,3135
IRQ,5192
ISL,65530
ISR,46520
ITA,33687
JAM,4874
JOR,4365
JPN,39887
KAZ,9659
KEN,1929
KGZ,1278
KHM,1594
KIR,1514
KNA,19573
KOR,32753
KWT,28593
LAC,7553
LAO,2591
LBN,4667
LBR,649
LBY,7950
LCA,9989
LCN,8104
LDC,1127
LIC,725
LIE,169049
LKA,3786
LMC,2426
LMY,5095
LSO,1123
LTE,10375
LTU,21080
LUX,121753
LVA,18758
MAC,57007
MAF,21459
MAR,3263
MCO,181588
MDA,4777
MDG,506
MDV,8827
MEA,7324
MEX,9436
MHL,4125
MIC,5609
MKD,6213
MLI,886
MLT,31130
MMR,1303
MNA,3459
MNE,8657
MNG,4334
MNP,20660
MOZ,485
MRT,1723
MUS,9514
MWI,624
MYS,11072
NAC,63897
NAM,4638
NCL,34742
NER,572
NGA,2137
NIC,1972
NLD,54311
NOR,77417
NPL,1188
NRU,11287
NZL,44421
OED,39898
OMN,16208
OSS,13123
PAK,1460
PAN,14267
PER,6611
PHL,3445
PLW,14738
PNG,2831
POL,16439
PRE,1420
PRI,32140
PRK,
PRT,23263
PRY,5250
PSE,3518
PSS,3952
PST,46325
PYF,20847
QAT,57829
ROU,13573
RUS,11290
RWA,813
SAS,2013
SAU,22413
SDN,712
SEN,1502
SGP,66452
SLB,2311
SLE,516
SLV,4125
SMR,46621
SOM,434
SRB,8121
SSA,1588
SSD,1120
SSF,1589
SST,11933
STP,2198
SUR,5536
SVK,19886
SVN,26878
SWE,54826
SWZ,3846
SXM,28988
SYC,14251
SYR,1266
TCA,26426
TCD,686
TEA,8838
TEC,9072
TGO,934
THA,7402
TJK,880
TKM,7612
TLA,7894
TLS,1495
TMN,3458
TON,4764
TSA,2013
TSS,1589
TTO,15884
TUN,3698
TUR,9082
TUV,4871
TZA,1099
UGA,826
UKR,4083
UMC,9850
URY,16709
USA,65803
UZB,1839
VCT,8029
VEN,16056
VGB,
VIR,39074
VNM,3548
VUT,3057
WLD,11535
WSM,4110
XKX,4571
YEM,691
ZAF,6425
ZMB,1137
ZWE,1423
