"cntry.code","eurostat_geo","year","env_protection_expenditure_pct_gdp","source_dataset","cofog","source_url","retrieved_utc"
"AUT","AT",2016,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=AT&time=2016","2026-08-02 12:22:43 UTC"
"AUT","AT",2017,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=AT&time=2017","2026-08-02 12:22:45 UTC"
"AUT","AT",2018,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=AT&time=2018","2026-08-02 12:22:47 UTC"
"AUT","AT",2019,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=AT&time=2019","2026-08-02 12:22:49 UTC"
"AUT","AT",2020,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=AT&time=2020","2026-08-02 12:22:51 UTC"
"DEU","DE",2016,0.5,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DE&time=2016","2026-08-02 12:22:52 UTC"
"DEU","DE",2017,0.5,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DE&time=2017","2026-08-02 12:22:55 UTC"
"DEU","DE",2018,0.6,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DE&time=2018","2026-08-02 12:22:56 UTC"
"DEU","DE",2019,0.6,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DE&time=2019","2026-08-02 12:22:58 UTC"
"DEU","DE",2020,0.6,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DE&time=2020","2026-08-02 12:22:59 UTC"
"DNK","DK",2016,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DK&time=2016","2026-08-02 12:23:01 UTC"
"DNK","DK",2017,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DK&time=2017","2026-08-02 12:23:03 UTC"
"DNK","DK",2018,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DK&time=2018","2026-08-02 12:23:05 UTC"
"DNK","DK",2019,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DK&time=2019","2026-08-02 12:23:07 UTC"
"DNK","DK",2020,0.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=DK&time=2020","2026-08-02 12:23:08 UTC"
"ESP","ES",2016,0.8,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=ES&time=2016","2026-08-02 12:23:10 UTC"
"ESP","ES",2017,0.8,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=ES&time=2017","2026-08-02 12:23:12 UTC"
"ESP","ES",2018,0.8,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=ES&time=2018","2026-08-02 12:23:14 UTC"
"ESP","ES",2019,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=ES&time=2019","2026-08-02 12:23:16 UTC"
"ESP","ES",2020,1,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=ES&time=2020","2026-08-02 12:23:17 UTC"
"FIN","FI",2016,0.2,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FI&time=2016","2026-08-02 12:23:19 UTC"
"FIN","FI",2017,0.2,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FI&time=2017","2026-08-02 12:23:21 UTC"
"FIN","FI",2018,0.2,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FI&time=2018","2026-08-02 12:23:23 UTC"
"FIN","FI",2019,0.2,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FI&time=2019","2026-08-02 12:23:25 UTC"
"FIN","FI",2020,0.2,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FI&time=2020","2026-08-02 12:23:26 UTC"
"FRA","FR",2016,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FR&time=2016","2026-08-02 12:23:28 UTC"
"FRA","FR",2017,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FR&time=2017","2026-08-02 12:23:30 UTC"
"FRA","FR",2018,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FR&time=2018","2026-08-02 12:23:32 UTC"
"FRA","FR",2019,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FR&time=2019","2026-08-02 12:23:33 UTC"
"FRA","FR",2020,1,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=FR&time=2020","2026-08-02 12:23:35 UTC"
"GBR","UK",2016,NA,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=UK&time=2016","2026-08-02 12:23:37 UTC"
"GBR","UK",2017,NA,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=UK&time=2017","2026-08-02 12:23:39 UTC"
"GBR","UK",2018,NA,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=UK&time=2018","2026-08-02 12:23:40 UTC"
"GBR","UK",2019,NA,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=UK&time=2019","2026-08-02 12:23:42 UTC"
"GBR","UK",2020,NA,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=UK&time=2020","2026-08-02 12:23:44 UTC"
"GRC","EL",2016,1.5,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=EL&time=2016","2026-08-02 12:23:46 UTC"
"GRC","EL",2017,1.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=EL&time=2017","2026-08-02 12:23:48 UTC"
"GRC","EL",2018,1.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=EL&time=2018","2026-08-02 12:23:49 UTC"
"GRC","EL",2019,1.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=EL&time=2019","2026-08-02 12:23:51 UTC"
"GRC","EL",2020,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=EL&time=2020","2026-08-02 12:23:53 UTC"
"ITA","IT",2016,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=IT&time=2016","2026-08-02 12:23:55 UTC"
"ITA","IT",2017,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=IT&time=2017","2026-08-02 12:23:56 UTC"
"ITA","IT",2018,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=IT&time=2018","2026-08-02 12:23:58 UTC"
"ITA","IT",2019,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=IT&time=2019","2026-08-02 12:24:00 UTC"
"ITA","IT",2020,1,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=IT&time=2020","2026-08-02 12:24:02 UTC"
"NLD","NL",2016,1.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NL&time=2016","2026-08-02 12:24:04 UTC"
"NLD","NL",2017,1.3,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NL&time=2017","2026-08-02 12:24:05 UTC"
"NLD","NL",2018,1.4,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NL&time=2018","2026-08-02 12:24:07 UTC"
"NLD","NL",2019,1.3,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NL&time=2019","2026-08-02 12:24:09 UTC"
"NLD","NL",2020,1.5,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NL&time=2020","2026-08-02 12:24:11 UTC"
"NOR","NO",2016,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NO&time=2016","2026-08-02 12:24:13 UTC"
"NOR","NO",2017,0.8,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NO&time=2017","2026-08-02 12:24:14 UTC"
"NOR","NO",2018,0.8,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NO&time=2018","2026-08-02 12:24:16 UTC"
"NOR","NO",2019,0.9,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NO&time=2019","2026-08-02 12:24:18 UTC"
"NOR","NO",2020,1,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=NO&time=2020","2026-08-02 12:24:20 UTC"
"PRT","PT",2016,0.6,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=PT&time=2016","2026-08-02 12:24:22 UTC"
"PRT","PT",2017,0.6,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=PT&time=2017","2026-08-02 12:24:24 UTC"
"PRT","PT",2018,0.6,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=PT&time=2018","2026-08-02 12:24:25 UTC"
"PRT","PT",2019,0.6,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=PT&time=2019","2026-08-02 12:24:27 UTC"
"PRT","PT",2020,0.7,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=PT&time=2020","2026-08-02 12:24:29 UTC"
"SWE","SE",2016,0.5,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=SE&time=2016","2026-08-02 12:24:31 UTC"
"SWE","SE",2017,0.5,"gov_10a_exp","GF05","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?freq=A&unit=PC_GDP&sector=S13&cofog99=GF05&na_item=TE&geo=SE&time=2017","2026-08-02 12:24:33 UTC"
