cntry.code,igs
ABW,2219972067.04
AFE,260827133132.32
AFW,180964851237.61
AGO,13758972651.53
ALB,6701268357.72
ARB,1020892267358.63
ARE,278701163507.20
ARG,73700604187.88
ARM,6139489130.16
ASM,638250000.00
ATG,978814398.15
AUS,285063140043.24
AUT,231121992221.45
AZE,16879293414.99
BDI,584201037.34
BEL,443211145289.85
BEN,4520933760.55
BFA,4939775715.80
BGD,61870427232.16
BGR,41645105411.76
BHR,24857380319.15
BHS,4559760000.00
BIH,11084858997.59
BLR,40248467190.86
BLZ,1032322809.42
BMU,1745790200.00
BOL,11833282277.86
BRA,266653420880.32
BRB,1950917897.22
BRN,6511065039.30
BTN,1214018423.58
BWA,7069083721.42
CAF,780857961.11
CAN,570585124792.16
CEB,1013197981610.85
CHE,404334637105.38
CHL,83635933704.46
CHN,2543097181990.33
CIV,13850382005.84
CMR,8381774641.26
COD,16369323540.80
COG,6532590031.89
COL,66661235160.22
COM,344598110.20
CPV,1193136854.94
CRI,20089863393.30
CUB,10727250000.00
CYM,2512300492.02
CYP,19351989911.17
CZE,171662906499.95
DEU,1585743889565.45
DJI,4168372055.08
DMA,376750000.00
DNK,180144738459.12
DOM,24033901916.72
DZA,48942686969.18
EAP,3679792376934.06
EAR,3035673178765.05
EAS,7093559496897.56
ECA,939572517934.69
ECS,9416215500120.54
ECU,23819234000.00
EGY,75562227058.24
EMU,5897249727480.47
ESP,434177961848.88
EST,22740682832.13
ETH,19033053257.29
EUU,7104776006850.45
FCS,450026269413.61
FIN,104878047576.71
FJI,2661201738.69
FRA,871837427403.28
FRO,1640662653.61
FSM,277107140.00
GAB,3695838303.45
GBR,872118780833.83
GEO,10236205181.76
GHA,21375431776.71
GIN,5682636758.62
GMB,699849939.92
GNB,458240585.34
GNQ,5282024284.75
GRC,85189600735.26
GRL,1415268856.75
GTM,21684172384.50
GUM,3300250000.00
HIC,16522215254657.90
HKG,659476895367.13
HND,14557718092.36
HPC,244254913198.68
HRV,30775986194.14
HTI,5467404878.95
HUN,127709627161.17
IBD,7414622177640.62
IBT,8018346698119.45
IDA,601146308821.95
IDB,206910544210.50
IDN,205567255661.57
IDX,385758745763.35
IND,611923661216.29
IRL,425451535716.82
IRN,84777653940.68
IRQ,57952924603.66
ISL,9862857017.75
ISR,106483177482.41
ITA,569486085577.29
JAM,7133132428.78
JOR,21935746478.87
JPN,864278189637.54
KAZ,45825045512.17
KEN,19909535902.44
KGZ,5265338727.53
KHM,16216434749.90
KIR,184602037.47
KOR,610795401459.79
KWT,60159757413.66
LAC,1118854125398.39
LBN,21991392461.58
LBY,18899317259.56
LCN,1362575644344.32
LDC,314220447448.99
LIC,151285829883.99
LKA,23279208672.53
LMC,2098541992784.51
LMY,7405893595666.85
LSO,2218747377.66
LTE,5921451597991.56
LTU,39822978502.89
LUX,124845696349.12
LVA,21359604964.88
MAC,18222149364.81
MAR,55533505306.93
MDA,6427457103.58
MDG,4535761815.26
MDV,3791425098.38
MEA,1218340319131.21
MEX,481723217255.23
MHL,201170750.00
MIC,7253381659371.32
MKD,9343566918.62
MLI,6438490432.96
MLT,20362319779.06
MMR,20459562150.14
MNA,435174838609.55
MNE,3393880401.28
MNG,8243137725.18
MNP,819666666.67
MOZ,10718762032.58
MRT,3635359090.49
MUS,6800433602.81
MYS,210011703584.81
NAC,3549010633420.86
NAM,5779493562.70
NCL,3478833812.51
NER,3476668118.87
NGA,69267122382.19
NIC,6966910409.10
NLD,660145628274.03
NOR,134560925266.84
NPL,12742919793.11
NRU,115529255.72
NZL,54766194697.57
OED,14782437609269.30
OMN,32531924577.37
OSS,216496094603.39
PAK,62066120389.84
PAN,26738344050.00
PER,50841141869.51
PHL,138573262373.79
POL,310243185912.89
PRE,325419100144.49
PRI,46200400000.00
PRT,100358139135.41
PRY,12945757742.49
PSE,8999880000.00
PSS,5666914196.33
PST,14337588175195.60
PYF,2079712742.09
QAT,63459478021.98
ROU,110072902334.26
RUS,341183791323.31
RWA,3530055673.43
SAS,788684132685.46
SAU,203115760985.60
SDN,436935777.02
SEN,9324714154.34
SGP,546394429460.75
SLB,684442199.64
SLE,1606839281.04
SLV,12496752000.00
SMR,2266892039.50
SOM,5471608895.09
SRB,31183219764.56
SSA,446238137917.90
SSF,447783042633.39
SST,263101051680.95
SVK,96542472838.19
SVN,40622528958.60
SWE,235271827396.70
SWZ,1907429216.28
SXM,1132290502.79
SYC,1573174240.83
SYR,7250677377.62
TCD,4447179886.17
TEA,3672134196107.02
TEC,1390783723569.93
TGO,2401211784.61
THA,266212279989.77
TJK,3170721024.33
TKM,8445857142.86
TLA,1287120607867.77
TLS,1181319675.00
TMN,426475771375.02
TON,316198627.36
TSA,788684132685.46
TSS,447783042633.39
TUN,22962349269.82
TUR,250799663639.08
TZA,10159531930.29
UGA,7985798805.64
UKR,71218020903.99
UMC,5162030462472.51
URY,13321465660.76
USA,2985993750000.00
UZB,23452083899.60
VIR,3775750000.00
VUT,490510789.99
WLD,24002151405141.60
WSM,414320320.43
XKX,4615074337.71
YEM,9015789026.71
ZAF,99292184654.45
ZMB,8134761946.50
ZWE,6505185083.58
