cntry.code,pcAgrLand
ABW,11.11111111
AFE,44.24872113
AFG,58.80747589
AFW,39.74266213
AGO,45.68259405
ALB,42.53850365
AND,39.82978723
ARB,36.65964716
ARE,5.488594762
ARG,39.60322861
ARM,58.8689849
ASM,20.05
ATG,20.45454545
AUS,46.25247984
AUT,32.07416384
AZE,57.83824989
BDI,79.16666667
BEL,45.06635733
BEN,35.03015254
BFA,44.38230994
BGD,76.06207267
BGR,46.49042004
BHR,10.95541401
BHS,1.398601399
BIH,43.28125
BLR,40.79712287
BLZ,7.540552389
BMU,5.555555556
BOL,34.88138097
BRA,28.34109036
BRB,23.25581395
BRN,2.542694497
BTN,13.45044573
BWA,45.63372329
CAF,8.154354875
CAN,6.440513117
CEB,46.53477971
CHE,38.06591148
CHL,21.12888215
CHN,56.07689766
CIV,66.66666667
CMR,20.62575363
COD,14.80867206
COG,31.12152269
COL,43.48158855
COM,70.39226222
CPV,19.60297767
CRI,34.49862906
CSS,5.148054835
CUB,61.66666667
CYM,11.25
CYP,14.51611472
CZE,45.64686659
DEU,47.49706632
DJI,73.4253667
DMA,33.33333333
DNK,65.499675
DOM,50.27944525
DZA,17.36496412
EAP,49.04416148
EAR,39.64206915
EAS,47.28761231
ECA,27.51348483
ECS,29.04624603
ECU,21.82315993
EGY,3.989150635
EMU,43.0246639
ERI,62.72263717
ESP,52.33167922
EST,23.04093567
ETH,34.09275178
EUU,41.02679788
FCS,34.61113437
FIN,7.468579325
FJI,17.05528188
FRA,52.14754628
FRO,70.32942899
FSM,31.42857143
GAB,8.587107541
GBR,71.34004919
GEO,34.21931213
GHA,55.39301991
GIN,59.01025558
GMB,59.7826087
GNB,28.98684211
GNQ,6.720855615
GRC,45.5173623
GRD,23.52941176
GRL,0.592301133
GTM,35.98357596
GUM,29.62962963
GUY,6.305562611
HIC,34.78535261
HKG,3.80952381
HND,31.37903298
HPC,38.06670358
HRV,26.89421015
HTI,66.76342525
HUN,53.72561911
IBD,36.10368245
IBT,37.09889461
IDA,39.92495544
IDB,45.1659414
IDN,33.18208764
IDX,38.81171856
IMN,69.8245614
IND,60.21985692
IRL,65.49571781
IRN,28.97565485
IRQ,21.30707994
ISL,18.56590301
ISR,29.87060998
ITA,43.95756754
JAM,40.99722992
JOR,11.58862085
JPN,11.99451303
KAZ,79.26925214
KEN,48.54693046
KGZ,54.0552659
KHM,32.79515069
KIR,41.97530864
KNA,23.07692308
KOR,16.60860656
KWT,8.417508418
LAC,33.25784368
LAO,8.791161179
LBN,65.46138807
LBR,20.28696013
LBY,8.723871012
LCA,16.29508197
LCN,32.78250252
LDC,38.49967585
LIC,38.81286561
LIE,33.25
LKA,45.45748464
LMC,42.00167701
LMY,37.20087503
LSO,85.63899868
LTE,34.76603996
LTU,46.99457042
LUX,51.32571491
LVA,31.64068777
MAR,68.07528568
MDA,68.86506146
MDG,70.29047783
MDV,21.33333333
MEA,33.39616984
MEX,49.96939222
MHL,47.77777778
MIC,36.8761878
MKD,50.03965107
MLI,33.76605283
MLT,32.4375
MMR,19.93043958
MNA,22.96213342
MNE,19.17843866
MNG,72.35894359
MNP,1.173913043
MOZ,52.66389277
MRT,38.47967401
MUS,42.36453202
MWI,59.92787442
MYS,26.08735352
NAC,25.59222746
NAM,47.14013288
NCL,10.06728665
NER,36.78613721
NGA,76.25421347
NIC,42.08908094
NLD,53.88921889
NOR,2.70656766
NPL,28.74782002
NRU,20
NZL,38.56291064
OED,33.85184094
OMN,4.713828756
OSS,38.67823093
PAK,47.63776463
PAN,29.30843893
PER,19.12366406
PHL,42.50930677
PLW,9.347826087
PNG,2.627743674
POL,47.23810146
PRE,40.76968513
PRI,18.92897407
PRK,21.50984138
PRT,42.27667195
PRY,42.30843192
PSE,73.90365449
PSS,12.02042089
PST,33.17517846
PYF,13.68481706
QAT,6.440382942
ROU,59.070758
RUS,13.15843626
RWA,73.43737333
SAS,56.91208531
SAU,80.75393052
SDN,37.1551606
SEN,46.11229419
SGP,0.919220056
SLB,4.180064309
SLE,54.71044611
SLV,57.70752896
SMR,38.33333333
SOM,70.33665955
SRB,40.06402927
SSA,42.54335325
SSD,44.70590097
SSF,42.54259899
SST,32.56569869
STP,45.83333333
SUR,0.538461538
SVK,39.16389351
SVN,30.31773306
SWE,7.379478334
SWZ,71.04651163
SYC,3.369565217
SYR,75.81005282
TCA,1.052631579
TCD,39.89675985
TEA,49.25297121
TEC,28.09047872
TGO,70.2334988
THA,45.0390495
TJK,35.42041934
TKM,72.00646905
TLA,32.65636968
TLS,22.95897781
TMN,22.92659346
TON,48.61111111
TSA,56.91208531
TSS,42.54259899
TTO,10.52631579
TUN,62.63516993
TUR,49.06513519
TUV,60
TZA,44.61639196
UGA,71.88809096
UKR,71.2996203
UMC,34.48633857
URY,80.3531025
USA,44.36336735
UZB,58.28321797
VCT,17.94871795
VEN,24.37503543
VGB,46.66666667
VIR,9.428571429
VNM,39.43476832
VUT,15.34044299
WLD,36.45884082
WSM,17.77338129
YEM,44.41919048
ZAF,79.41785028
ZMB,32.06392338
ZWE,41.87669639
