Country Name,cntry.code,protareapc
Aruba,ABW,18.91757767
Africa Eastern and Southern,AFE,16.90734513
Afghanistan,AFG,1.517726938
Africa Western and Central,AFW,15.72504748
Angola,AGO,6.971426376
Albania,ALB,18.2486761
Andorra,AND,26.75363101
Arab World,ARB,5.282138744
United Arab Emirates,ARE,18.51347526
Argentina,ARG,8.608015968
Armenia,ARM,23.82744205
American Samoa,ASM,12.84720969
Antigua and Barbuda,ATG,19.32986203
Australia,AUS,19.69970907
Austria,AUT,28.71809846
Azerbaijan,AZE,10.15512737
Burundi,BDI,7.591471817
Belgium,BEL,20.48322374
Benin,BEN,29.61975964
Burkina Faso,BFA,15.51285111
Bangladesh,BGD,4.605962875
Bulgaria,BGR,38.4165967
Bahrain,BHR,6.621747919
"Bahamas, The",BHS,36.6336486
Bosnia and Herzegovina,BIH,2.356981004
Belarus,BLR,10.25139235
Belize,BLZ,37.62621248
Bermuda,BMU,2.079919029
Bolivia,BOL,30.86553823
Brazil,BRA,29.76821257
Barbados,BRB,1.270108122
Brunei Darussalam,BRN,46.87211988
Bhutan,BTN,48.6724433
Botswana,BWA,29.1432504
Central African Republic,CAF,18.06482432
Canada,CAN,10.36874099
Central Europe and the Baltics,CEB,30.3790384
Switzerland,CHE,10.68302789
Channel Islands,CHI,
Chile,CHL,19.84099786
China,CHN,15.54838597
Cote d'Ivoire,CIV,22.91530588
Cameroon,CMR,10.80803131
"Congo, Dem. Rep.",COD,13.83326029
"Congo, Rep.",COG,39.16015142
Colombia,COL,15.64792746
Comoros,COM,19.59194416
Cabo Verde,CPV,2.895240217
Costa Rica,CRI,28.06617717
Caribbean small states,CSS,13.82233985
Cuba,CUB,16.35870447
Curacao,CUW,15.63241971
Cayman Islands,CYM,10.76276987
Cyprus,CYP,30.60632721
Czechia,CZE,22.15956508
Germany,DEU,37.62691818
Djibouti,DJI,1.574645945
Dominica,DMA,21.97683439
Denmark,DNK,17.47607378
Dominican Republic,DOM,26.23675107
Algeria,DZA,6.353202246
East Asia & Pacific (excluding high income),EAP,14.56273894
Early-demographic dividend,EAR,12.67475284
East Asia & Pacific,EAS,16.47763433
Europe & Central Asia (excluding high income),ECA,8.39580298
Europe & Central Asia,ECS,11.69895902
Ecuador,ECU,22.12596429
"Egypt, Arab Rep.",EGY,13.13605315
Euro area,EMU,25.80069053
Eritrea,ERI,4.87239097
Spain,ESP,28.09542291
Estonia,EST,20.71071752
Ethiopia,ETH,17.52892769
European Union,EUU,25.87141031
Fragile and conflict affected situations,FCS,13.32227216
Finland,FIN,13.99086244
Fiji,FJI,5.411196892
France,FRA,26.63623734
Faroe Islands,FRO,2.329093157
"Micronesia, Fed. Sts.",FSM,0.049162904
Gabon,GAB,22.44275775
United Kingdom,GBR,28.70991303
Georgia,GEO,8.907806106
Ghana,GHA,14.96922534
Gibraltar,GIB,21.32800029
Guinea,GIN,36.06611592
"Gambia, The",GMB,5.551849669
Guinea-Bissau,GNB,20.52698707
Equatorial Guinea,GNQ,19.26675956
Greece,GRC,35.21633588
Grenada,GRD,9.681686926
Greenland,GRL,41.22448128
Guatemala,GTM,20.07672284
Guam,GUM,14.90768314
Guyana,GUY,8.595140561
High income,HIC,15.16560351
"Hong Kong SAR, China",HKG,41.88367984
Honduras,HND,23.71156769
Heavily indebted poor countries (HIPC),HPC,16.65244031
Croatia,HRV,38.29777719
Haiti,HTI,5.355445334
Hungary,HUN,22.59844484
IBRD only,IBD,14.48354241
IDA & IBRD total,IBT,14.50366923
IDA total,IDA,14.5626992
IDA blend,IDB,14.06724739
Indonesia,IDN,12.16569797
IDA only,IDX,14.67081182
Isle of Man,IMN,4.760774493
India,IND,6.276993246
Not classified,INX,
Ireland,IRL,14.4383128
"Iran, Islamic Rep.",IRN,8.614132873
Iraq,IRQ,1.533412067
