"country","cntry.code","period","cmdCode","pathway","import_value_usd","source_url","retrieved_utc"
"Argentina","ARG","2016","01","live_animals",23523621.39,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2016","03","fish_aquatic_products",70879421.16,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2016","06","live_plants",7350329.07,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2016","44","wood_products",113848827.13,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2016","TOTAL","all_imports",55910810438.22,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2017","01","live_animals",22530093.02,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2017","03","fish_aquatic_products",84371619.8,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2017","06","live_plants",8363759.32,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2017","44","wood_products",125515096.13,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2017","TOTAL","all_imports",66899299586.97,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2018","01","live_animals",21881722.9,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2018","03","fish_aquatic_products",76690029.94,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2018","06","live_plants",8663621.09,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2018","44","wood_products",124099526.79,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2018","TOTAL","all_imports",65440966165.64,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2019","01","live_animals",24174179.96,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2019","03","fish_aquatic_products",59623090.78,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2019","06","live_plants",6242169.88,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2019","44","wood_products",78824131.08,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2019","TOTAL","all_imports",49125029975.95,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2020","01","live_animals",23612195.49,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2020","03","fish_aquatic_products",48201193.53,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2020","06","live_plants",3494322.44,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2020","44","wood_products",81375006,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Argentina","ARG","2020","TOTAL","all_imports",42355505399.72,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2016","01","live_animals",91128858,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2016","03","fish_aquatic_products",831929333,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2016","06","live_plants",75182561,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2016","44","wood_products",1560243347,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2016","TOTAL","all_imports",189406027941,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2017","01","live_animals",128531721.697,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2017","03","fish_aquatic_products",876911009.124,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2017","06","live_plants",110024074.191,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2017","44","wood_products",1804284471.467,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2017","TOTAL","all_imports",228429293201.109,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2018","01","live_animals",138011378.236,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2018","03","fish_aquatic_products",885610386.748,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2018","06","live_plants",112676044.6,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2018","44","wood_products",2083688108.906,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2018","TOTAL","all_imports",235632823913.726,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2019","01","live_animals",110862177.912,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2019","03","fish_aquatic_products",850077566.389,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
"Australia","AUS","2019","06","live_plants",112646985.528,"https://comtradeapi.un.org/public/v1/preview/C/A/HS","2026-08-02 05:47:38 UTC"
